Ad_ID,Ad_Name,Reel_Type,Theme,Monthly_Spend,Visits,Visits_Per_Dollar,Conversions,Conversion_Rate,Efficiency_Score,Action,Reason,Date_Paused
REPLACE_WITH_ACTUAL_ID_1,Example_Low_Performer_1,Reel,Generic,125.00,85,0.68,1,1.18%,0.34,PAUSE,Efficiency < 1.0,2025-10-23
REPLACE_WITH_ACTUAL_ID_2,Example_Low_Performer_2,Reel,Blue,98.00,62,0.63,0,0.00%,0.00,PAUSE,No conversions + low visits,2025-10-23
REPLACE_WITH_ACTUAL_ID_3,Example_Low_Performer_3,Static,Yellow,87.00,71,0.82,1,1.41%,0.58,PAUSE,Efficiency < 1.0,2025-10-23
REPLACE_WITH_ACTUAL_ID_4,Example_Low_Performer_4,Reel,Green,76.00,48,0.63,0,0.00%,0.00,PAUSE,No conversions,2025-10-23
REPLACE_WITH_ACTUAL_ID_5,Example_Low_Performer_5,Text,Gray,94.00,55,0.59,1,1.82%,0.53,PAUSE,Efficiency < 1.0,2025-10-23
REPLACE_WITH_ACTUAL_ID_6,Example_Low_Performer_6,Reel,Black,112.00,89,0.79,1,1.12%,0.44,PAUSE,Low conversion rate,2025-10-23
REPLACE_WITH_ACTUAL_ID_7,Example_Low_Performer_7,Static,Pink,65.00,41,0.63,0,0.00%,0.00,PAUSE,No conversions,2025-10-23
REPLACE_WITH_ACTUAL_ID_8,Example_Low_Performer_8,Reel,White,103.00,78,0.76,1,1.28%,0.49,PAUSE,Efficiency < 1.0,2025-10-23
REPLACE_WITH_ACTUAL_ID_9,Example_Low_Performer_9,Reel,Brown,88.00,52,0.59,0,0.00%,0.00,PAUSE,No conversions,2025-10-23
REPLACE_WITH_ACTUAL_ID_10,Example_Low_Performer_10,Text,Beige,91.00,67,0.74,1,1.49%,0.55,PAUSE,Efficiency < 1.0,2025-10-23
REPLACE_WITH_ACTUAL_ID_11,Example_Low_Performer_11,Reel,Navy,79.00,49,0.62,0,0.00%,0.00,PAUSE,No conversions,2025-10-23
REPLACE_WITH_ACTUAL_ID_12,Example_Low_Performer_12,Static,Teal,85.00,58,0.68,1,1.72%,0.59,PAUSE,Efficiency < 1.0,2025-10-23
REPLACE_WITH_ACTUAL_ID_13,Example_Low_Performer_13,Reel,Maroon,97.00,71,0.73,0,0.00%,0.00,PAUSE,No conversions,2025-10-23
REPLACE_WITH_ACTUAL_ID_14,Example_Low_Performer_14,Reel,Cyan,108.00,84,0.78,1,1.19%,0.46,PAUSE,Low conversion rate,2025-10-23
REPLACE_WITH_ACTUAL_ID_15,Example_Low_Performer_15,Text,Lime,72.00,45,0.63,0,0.00%,0.00,PAUSE,No conversions,2025-10-23
REPLACE_WITH_ACTUAL_ID_16,Example_Low_Performer_16,Reel,Olive,95.00,69,0.73,1,1.45%,0.53,PAUSE,Efficiency < 1.0,2025-10-23
REPLACE_WITH_ACTUAL_ID_17,Example_Low_Performer_17,Static,Coral,82.00,51,0.62,0,0.00%,0.00,PAUSE,No conversions,2025-10-23
REPLACE_WITH_ACTUAL_ID_18,Example_Low_Performer_18,Reel,Indigo,101.00,76,0.75,1,1.32%,0.50,PAUSE,Efficiency < 1.0,2025-10-23
REPLACE_WITH_ACTUAL_ID_19,Example_Low_Performer_19,Reel,Violet,89.00,54,0.61,0,0.00%,0.00,PAUSE,No conversions,2025-10-23
REPLACE_WITH_ACTUAL_ID_20,Example_Low_Performer_20,Text,Magenta,93.00,64,0.69,1,1.56%,0.54,PAUSE,Efficiency < 1.0,2025-10-23
REPLACE_WITH_ACTUAL_ID_21,Example_Low_Performer_21,Reel,Turquoise,87.00,57,0.66,0,0.00%,0.00,PAUSE,No conversions,2025-10-23
REPLACE_WITH_ACTUAL_ID_22,Example_Low_Performer_22,Static,Amber,99.00,72,0.73,1,1.39%,0.51,PAUSE,Efficiency < 1.0,2025-10-23

TOTALS,,,,$2,295.00,1,397,0.61,14,1.01%,0.35,,,
